"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-1.01843162021217","0.508674442204631","-0.252732921622584","-0.102533778466769","10.0020048062887","Naive"
"0.3","0.05","-0.95069196257354","0.48266687948682","-0.258608655044658","-0.103847130712775","8.92165085065224","Naive"
"0.3","0.1","-0.886393743482063","0.453302977745956","-0.266711211076809","-0.0980292150591404","7.8923564744494","Naive"
"0.3","0.15","-0.826704633787252","0.435914538409777","-0.270288214678178","-0.0950353090033549","7.02192126840945","Naive"
"0.3","0.2","-0.783585792993709","0.419826559605205","-0.278191863052963","-0.0986994945364414","6.26833066563813","Naive"
"0.3","0.25","-0.734733853941372","0.402013671292401","-0.285898773548542","-0.100339127439583","5.48658778341055","Naive"
"0.3","0.3","-0.696290653292191","0.382585230090697","-0.292840278410063","-0.0938635301951689","4.90641376331081","Naive"
"0.3","0.35","-0.663076710372291","0.368879199878947","-0.289230747746845","-0.0921955973847998","4.30656349958469","Naive"
"0.3","0.4","-0.627987125689023","0.358644319355504","-0.294612948334262","-0.0926085436287043","3.80038147215749","Naive"
"0.3","0.45","-0.600838563322887","0.345569258098108","-0.297155567320024","-0.0961541891754803","3.3911765367647","Naive"
"0.3","0.5","-0.574115885020604","0.336542955330325","-0.299819831248993","-0.092621229703467","2.98984913814306","Naive"
"0.3","0","-1.01843162081766","0.508674442350851","-0.252732920382344","-0.102533778726443","10.0020047922184","CEB"
"0.3","0.05","-1.01650833991962","0.512566186074282","-0.253816121530196","-0.105368861696772","9.88247430771673","CEB"
"0.3","0.1","-1.00680230066055","0.509802030944296","-0.25916276252525","-0.100905958247783","9.63149963548458","CEB"
"0.3","0.15","-0.992563446487787","0.519154138723478","-0.261155011911958","-0.0987615667421599","9.35639604818744","CEB"
"0.3","0.2","-0.990240591549287","0.527875106956528","-0.268847628841753","-0.104049411762444","9.09580223922419","CEB"
"0.3","0.25","-0.971056280719087","0.535325624068124","-0.278477064798908","-0.105812773027408","8.61731443454169","CEB"
"0.3","0.3","-0.96137247901275","0.537181718192893","-0.287440931000657","-0.100601019678226","8.35055169271549","CEB"
"0.3","0.35","-0.955344721751928","0.550434350160534","-0.287013631501386","-0.0998253622145876","7.9430683136014","CEB"
"0.3","0.4","-0.934623012418781","0.566585800011924","-0.297432820834116","-0.100308010747268","7.4393464694428","CEB"
"0.3","0.45","-0.931055992376391","0.579228018768711","-0.304937159094311","-0.107086905936308","7.14080231467061","CEB"
"0.3","0.5","-0.918528302827989","0.597575632656014","-0.312991604723286","-0.100799918534208","6.73078896196795","CEB"
"0.3","0","-1.01843162021217","0.508674442204631","-0.252732921622584","-0.102533778466769","10.0020048062887","BCEB"
"0.3","0.05","-1.01617845910416","0.51239708240673","-0.253770793556061","-0.105350829625646","9.87765459912279","BCEB"
"0.3","0.1","-1.00571253283907","0.509153579512893","-0.258946489792739","-0.100835321715202","9.61671888486588","BCEB"
"0.3","0.15","-0.990532828918694","0.517535985221889","-0.260652575003196","-0.0985803642906966","9.33485941205313","BCEB"
"0.3","0.2","-0.987013149315218","0.525224747027126","-0.267906804348188","-0.103698454968677","9.06127870868106","BCEB"
"0.3","0.25","-0.966698151218367","0.530489090916708","-0.276782097246893","-0.105497894492327","8.58968539529889","BCEB"
"0.3","0.3","-0.955445487360198","0.529676396543421","-0.284410285006047","-0.10003093653222","8.32167787352149","BCEB"
"0.3","0.35","-0.947046846870898","0.538641974274075","-0.282701371187913","-0.0990764402375573","7.92327837255914","BCEB"
"0.3","0.4","-0.926025724964551","0.550279711967947","-0.291234044374237","-0.099598863368041","7.46493844081235","BCEB"
"0.3","0.45","-0.919392418294332","0.556850774074009","-0.296464275406365","-0.105354614701372","7.18001828104044","BCEB"
"0.3","0.5","-0.906382865996325","0.568443309681387","-0.302340996819434","-0.0997589382403484","6.83668774347987","BCEB"
"0.3","0","-1.01843162029442","0.508674442233087","-0.25273292019504","-0.102533778447655","10.0020047737778","HL"
"0.3","0.05","-1.01361811179904","0.511245449707479","-0.253766000754442","-0.105135921115181","9.86201057238555","HL"
"0.3","0.1","-1.00394848711851","0.50830337569773","-0.258118964699713","-0.100234604618977","9.62722913951476","HL"
"0.3","0.15","-0.987728743722308","0.515497162113975","-0.259532457494324","-0.0984950496530588","9.32900153805364","HL"
"0.3","0.2","-0.98073086245657","0.524024355686518","-0.268964909375014","-0.102651304585167","9.00096631806873","HL"
"0.3","0.25","-0.960565586054016","0.532613812379955","-0.278458612717648","-0.105074851688117","8.5450079540491","HL"
"0.3","0.3","-0.947308928403821","0.533707186624746","-0.285543784106392","-0.0994681474920705","8.23958355607475","HL"
"0.3","0.35","-0.938506278874387","0.543575138341253","-0.285628992463705","-0.0982489799844658","7.82594371597853","HL"
"0.3","0.4","-0.920616428630362","0.558744322582522","-0.296075479360931","-0.100559013703273","7.35808440473206","HL"
"0.3","0.45","-0.906401870394483","0.568319936189345","-0.303627822046223","-0.105291700523469","6.95358771421126","HL"
"0.3","0.5","-0.901503995822912","0.588612254706336","-0.310981155444325","-0.102417284989284","6.62493781845685","HL"
"0.3","0","-1.01843162032003","0.508674442227253","-0.252732920188226","-0.102533778464013","10.0020047744614","HW"
