"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-1.01963234863386","0.508164303737437","-0.253155695431852","-0.101521302562086","9.99660535554717","Naive"
"0.3","0.05","-0.95412867602794","0.484434618285994","-0.258690129029177","-0.101358197117081","9.05204299339758","Naive"
"0.3","0.1","-0.898514430688962","0.454633388717554","-0.266249136201222","-0.0994276887951458","8.18379143709281","Naive"
"0.3","0.15","-0.847832656047513","0.433800695053644","-0.266930628371743","-0.0978196137588641","7.4796775248703","Naive"
"0.3","0.2","-0.805902436340668","0.412554361282804","-0.272951076412327","-0.0991714943221246","6.79123994185545","Naive"
"0.3","0.25","-0.762547301753728","0.392851161414097","-0.27381972615679","-0.0986846949722312","6.18858169001608","Naive"
"0.3","0.3","-0.725475417588032","0.379033085754495","-0.278958353183159","-0.0957612561326589","5.64357224149815","Naive"
"0.3","0.35","-0.695071397525908","0.36195493627692","-0.281769093960839","-0.0929452340608625","5.08942661331124","Naive"
"0.3","0.4","-0.663103567241409","0.348599768739355","-0.281949157318353","-0.0913538854750046","4.6585649978059","Naive"
"0.3","0.45","-0.634251311160731","0.335307201969792","-0.287200533770413","-0.093489880441943","4.28549236961333","Naive"
"0.3","0.5","-0.61407774808308","0.321895763210289","-0.284836810397404","-0.0914725110079338","3.89639258650279","Naive"
"0.3","0","-1.01963234868932","0.508164303778182","-0.253155695228912","-0.10152130248244","9.99660535033054","CEB"
"0.3","0.05","-1.02053337734708","0.514265841294628","-0.253716712199709","-0.102797044800566","10.0319265683022","CEB"
"0.3","0.1","-1.02423962755354","0.510738197122285","-0.257310085259946","-0.102252627683024","10.0381835424318","CEB"
"0.3","0.15","-1.02738382202678","0.514818416571748","-0.253569526907888","-0.102119393674933","10.1094911624825","CEB"
"0.3","0.2","-1.03624591333284","0.516384086307671","-0.257066313857918","-0.104924528681105","10.1376587603918","CEB"
"0.3","0.25","-1.03560212022571","0.515190967831495","-0.253358439482002","-0.104816543408282","10.1608779896981","CEB"
"0.3","0.3","-1.04178662256865","0.525673108644217","-0.258098838852063","-0.103875226562133","10.1801630247747","CEB"
"0.3","0.35","-1.05345404570297","0.526261490406701","-0.25916225419165","-0.10003293838034","10.1949529063187","CEB"
"0.3","0.4","-1.05818578070522","0.530883109150808","-0.258477861572457","-0.100313552998142","10.2863033041331","CEB"
"0.3","0.45","-1.05654893038268","0.536523693347933","-0.26378735599055","-0.106065357443637","10.3031885568599","CEB"
"0.3","0.5","-1.08187844168173","0.535463247722759","-0.256372225848502","-0.102641857843134","10.4928677416615","CEB"
"0.3","0","-1.01963234863386","0.508164303737437","-0.253155695431852","-0.101521302562086","9.99660535554717","BCEB"
"0.3","0.05","-1.02019959845233","0.514102861615901","-0.253681305412583","-0.102783455033532","10.027168853752","BCEB"
"0.3","0.1","-1.02292888213651","0.510093718186864","-0.257144746744439","-0.102175940527488","10.019313525065","BCEB"
"0.3","0.15","-1.02427959039968","0.513334518411233","-0.253357633405751","-0.101932821410428","10.0665670280238","BCEB"
"0.3","0.2","-1.03036462652826","0.513667248894994","-0.256614200659314","-0.104570821130816","10.0546082182821","BCEB"
"0.3","0.25","-1.02669334736279","0.511305378873264","-0.252951864873606","-0.104556376688366","10.0428876589916","BCEB"
