"rhoZ","Var_eps","Rc","Method"
"0.3","0","1","CEB"
"0.3","0.05","1","CEB"
"0.3","0.1","1","CEB"
"0.3","0.15","1","CEB"
"0.3","0.2","1","CEB"
"0.3","0.25","1","CEB"
"0.3","0.3","0.999","CEB"
"0.3","0.35","0.997","CEB"
"0.3","0.4","0.996","CEB"
"0.3","0.45","0.994","CEB"
"0.3","0.5","0.992","CEB"
"0.3","0","1","BCEB"
"0.3","0.05","1","BCEB"
"0.3","0.1","1","BCEB"
"0.3","0.15","1","BCEB"
"0.3","0.2","1","BCEB"
"0.3","0.25","1","BCEB"
"0.3","0.3","1","BCEB"
"0.3","0.35","1","BCEB"
"0.3","0.4","1","BCEB"
"0.3","0.45","1","BCEB"
"0.3","0.5","1","BCEB"
"0.3","0","1","HL"
"0.3","0.05","0.841","HL"
"0.3","0.1","0.61","HL"
"0.3","0.15","0.419","HL"
"0.3","0.2","0.325","HL"
"0.3","0.25","0.283","HL"
"0.3","0.3","0.26","HL"
"0.3","0.35","0.195","HL"
"0.3","0.4","0.203","HL"
"0.3","0.45","0.175","HL"
"0.3","0.5","0.167","HL"
"0.3","0","1","HW"
"0.3","0.05","0.987","HW"
"0.3","0.1","0.934","HW"
"0.3","0.15","0.894","HW"
"0.3","0.2","0.844","HW"
"0.3","0.25","0.774","HW"
"0.3","0.3","0.713","HW"
"0.3","0.35","0.648","HW"
"0.3","0.4","0.608","HW"
"0.3","0.45","0.554","HW"
"0.3","0.5","0.515","HW"
