"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-1.01843162021217","0.508674442204631","-0.252732921622584","-0.102533778466769","10.0020048062887","Naive"
"0.3","0.05","-0.9483577976123","0.479923850521941","-0.262483681525406","-0.0998678270386244","8.80605304673386","Naive"
"0.3","0.1","-0.871749122807936","0.455178871143012","-0.274223819720811","-0.0999951645713777","7.69970183170742","Naive"
"0.3","0.15","-0.812698392458113","0.429990572076117","-0.276134172374571","-0.102382791851148","6.63001729221597","Naive"
"0.3","0.2","-0.764491822235668","0.412009736051962","-0.278962950110686","-0.0949943182047161","5.84261639521323","Naive"
"0.3","0.25","-0.714346169624554","0.386786370951465","-0.284499803858535","-0.0986047498250668","5.09583770475044","Naive"
"0.3","0.3","-0.677763556036538","0.370060807349282","-0.288299826660633","-0.0969649037575293","4.61600803900181","Naive"
"0.3","0.35","-0.64209147783715","0.353294555804223","-0.292625844444739","-0.0987662184147013","4.06103111127506","Naive"
"0.3","0.4","-0.617212578979245","0.340147856570034","-0.294501589847642","-0.0947724842217243","3.73743485091484","Naive"
"0.3","0.45","-0.573703749124997","0.329399729790695","-0.299498665691525","-0.0933376829713021","3.03937033854869","Naive"
"0.3","0.5","-0.55564643145758","0.317112129888938","-0.29743341356271","-0.0919591992864276","2.79647964753078","Naive"
"0","0","-1.01843162081766","0.508674442350851","-0.252732920382344","-0.102533778726443","10.0020047922184","CEB"
"0","0","-1.01279833379846","0.509515621540779","-0.258102665049485","-0.101215523021846","9.74024642658979","CEB"
"0","0","-0.986740101382819","0.511000099972234","-0.267770374977283","-0.102744868912281","9.32367701828554","CEB"
"0","0","-0.966489255184013","0.509894650017307","-0.269894979900602","-0.107137954990289","8.70681090966724","CEB"
"0","0","-0.952355952059126","0.515042716640782","-0.272044094294145","-0.0995271126050848","8.3006387961486","CEB"
"0","0","-0.924204381466119","0.503675066561843","-0.278441344805848","-0.10437751781771","7.7956042029094","CEB"
"0","0","-0.911708585073884","0.504818312640979","-0.283962566752786","-0.104059014616024","7.53462195849598","CEB"
"0","0","-0.893036986646101","0.503156827496157","-0.291790860677909","-0.106405711016796","7.07919984292926","CEB"
"0","0","-0.88264853530761","0.503916286842494","-0.295436141569742","-0.102597984590614","6.91748253096198","CEB"
"0","0","-0.835114398136242","0.50630140878187","-0.306352740318752","-0.101942419564172","5.9374705543787","CEB"
"0","0","-0.832390120366501","0.506367988006454","-0.304420934768761","-0.102578585706075","5.8116302746312","CEB"
