"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0","-0.0184316202121746","0.00867444220463054","-0.00273292162258371","-0.0025337784667686","0.00200480628872768","0.0894049710968757","0.0731760737577157","0.0698271874506919","0.0631337071270473","0.12975233915067","0.00832498023162219","0.00542462898038553","0.00487842913176197","0.00398829914394684","0.0168228530938108","Naive"
"0.3","0.05","0.0459815601099753","-0.0177002990047026","-0.00953919694315081","0.00154697963087772","-0.96097093049895","0.0876593734703028","0.0691514044710097","0.0688700728313094","0.06112595046979","0.414762436939265","0.0097907854615961","0.00509043540842874","0.00482934012317829","0.00373503858499273","1.09532098048072","Naive"
"0.3","0.1","0.101867813783625","-0.042698865861915","-0.0163099470784132","0.000925945215472512","-1.76693765152475","0.0759593127403713","0.0675070275687679","0.0682688300738836","0.0600600724599475","0.529378763434096","0.0161410988598528","0.00637583471829303","0.00492198690019777","0.00360446246613231","3.40203029767562","Naive"
"0.3","0.15","0.142811841415052","-0.0643214067978705","-0.0160664674600393","-0.000244298986001604","-2.51828330046487","0.0741155967698778","0.0647117579075707","0.0640301852495615","0.0628498102196635","0.606392674512658","0.0258828506112286","0.00832066737233369","0.00435389613511457","0.00394620822799764","6.70909514502717","Naive"
"0.3","0.2","0.189452809331218","-0.0839962491974882","-0.0237103905616946","0.00111926029816981","-3.14349216485335","0.0726892545178634","0.0603378642532033","0.0647427061298352","0.0579701759428361","0.669031483783209","0.041170810958131","0.0106923870840219","0.00474960899960528","0.00335843350115959","10.3286985136613","Naive"
"0.3","0.25","0.229400697252028","-0.103923164994119","-0.0207938349396241","0.00440061456125877","-3.70060680405082","0.0677376749118953","0.0577900101599742","0.0656406499600174","0.0561821317053876","0.70949615381949","0.057208484109584","0.0141363698114104","0.00473676980374268","0.00317264089955532","14.1973721256796","Naive"
"0.3","0.3","0.26329212703017","-0.122419397823106","-0.0247547884397981","0.00297815251564083","-4.24401088765258","0.0629720005625498","0.0552739675850882","0.0647797804725221","0.0589742377984394","0.779891726974358","0.0732842515380661","0.0180386652444767","0.00480502308880924","0.00348335215558939","18.6192512892109","Naive"
"0.3","0.35","0.298632055552332","-0.135358991529026","-0.0304986884753276","0.00939164555740314","-4.74160213721707","0.0613426815021497","0.0517659260797575","0.0619068082477859","0.0548464911248654","0.773793445450715","0.0929402662527115","0.0209990879795469","0.00475879045323578","0.00309333245739712","23.0809483675878","Naive"
"0.3","0.4","0.328214157059611","-0.152364845167162","-0.030406520472825","0.00404021244541443","-5.21120790506142","0.0586203580468788","0.0538749802295363","0.0644841172272069","0.052758967718802","0.816967671860442","0.111157442925517","0.0261146570240514","0.00507859966046192","0.00279704848268292","27.8234565704629","Naive"
"0.3","0.45","0.354646472339957","-0.166806765103128","-0.0290484105877511","0.00542339519676542","-5.58278196690377","0.0569360599068108","0.0498216290452283","0.0608185203108343","0.0555043520224814","0.888502058830615","0.12901259354597","0.0303042094101696","0.00453900367806114","0.0031070655758024","31.9561009626236","Naive"
