"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-1.01843162021217","0.508674442204631","-0.252732921622584","-0.102533778466769","10.0020048062887","Naive"
"0.3","0.05","-0.954018439890025","0.482299700995297","-0.259539196943151","-0.0984530203691223","9.03902906950105","Naive"
"0.3","0.1","-0.898132186216375","0.457301134138085","-0.266309947078413","-0.0990740547845275","8.23306234847525","Naive"
"0.3","0.15","-0.857188158584948","0.43567859320213","-0.266066467460039","-0.100244298986002","7.48171669953513","Naive"
"0.3","0.2","-0.810547190668782","0.416003750802512","-0.273710390561695","-0.0988807397018302","6.85650783514665","Naive"
"0.3","0.25","-0.770599302747972","0.396076835005881","-0.270793834939624","-0.0955993854387412","6.29939319594918","Naive"
"0.3","0.3","-0.73670787296983","0.377580602176894","-0.274754788439798","-0.0970218474843592","5.75598911234742","Naive"
"0.3","0.35","-0.701367944447668","0.364641008470974","-0.280498688475328","-0.0906083544425969","5.25839786278293","Naive"
"0.3","0.4","-0.671785842940389","0.347635154832838","-0.280406520472825","-0.0959597875545856","4.78879209493858","Naive"
"0.3","0.45","-0.645353527660043","0.333193234896872","-0.279048410587751","-0.0945766048032346","4.41721803309623","Naive"
"0.3","0.5","-0.617449633012972","0.322069251772998","-0.287988380956271","-0.09276958701789","4.08397251737433","Naive"
"0.3","0","-1.01843162033394","0.508674442879977","-0.252732920398642","-0.102533778494263","10.002004766613","CEB"
"0.3","0.05","-1.01970700247017","0.511698227482353","-0.254440699213633","-0.0997381380028569","10.0070086978927","CEB"
"0.3","0.1","-1.02162662582303","0.513312446050469","-0.257151363529885","-0.101873589386731","10.0434448084456","CEB"
"0.3","0.15","-1.03508156246473","0.516967413711059","-0.253103930270023","-0.104590047999066","10.0596645908808","CEB"
"0.3","0.2","-1.03550651066232","0.519796414633723","-0.258941666257002","-0.104115964119447","10.0868720218595","CEB"
"0.3","0.25","-1.03818285525436","0.520280729186248","-0.252340394919948","-0.10159978047941","10.1287458065716","CEB"
"0.3","0.3","-1.04029233716298","0.51755845811462","-0.253552076913026","-0.105035043106701","10.1495762424748","CEB"
"0.3","0.35","-1.03828444615825","0.525313910961186","-0.260073507828457","-0.0964194295178702","10.073115170817","CEB"
"0.3","0.4","-1.04281278129543","0.522383714795546","-0.256727486353955","-0.105499533285825","10.0953522375275","CEB"
"0.3","0.45","-1.04888892949166","0.522306185190722","-0.253170245198356","-0.104988788263383","10.1513018887001","CEB"
"0.3","0.5","-1.04070324455568","0.525175687225052","-0.264145602808192","-0.102479113954748","10.119371995716","CEB"
"0.3","0","-1.01843162021217","0.50867444220463","-0.252732921622584","-0.102533778466769","10.0020048062887","BCEB"
"0.3","0.05","-1.02012915641572","0.511633414804176","-0.254277789115116","-0.0997366003865085","10.0160506492156","BCEB"
"0.3","0.1","-1.02326794572846","0.513088630669159","-0.256524006148558","-0.101870834561243","10.0782757747175","BCEB"
"0.3","0.15","-1.03886265352054","0.51640150456756","-0.251664689311797","-0.104524633070883","10.1389420854277","BCEB"
"0.3","0.2","-1.04159785372496","0.518822961667366","-0.256393676781824","-0.104082036716587","10.2123977051408","BCEB"
"0.3","0.25","-1.04719806449675","0.518733756456757","-0.248679944767467","-0.101484154488245","10.3196142506165","BCEB"
"0.3","0.3","-1.05389625270444","0.516011374215651","-0.248784041118554","-0.104849582565224","10.431048426483","BCEB"
"0.3","0.35","-1.0559272529528","0.523058758469584","-0.253240765260099","-0.0965632666054606","10.4399566065017","BCEB"
"0.3","0.4","-1.06458561484318","0.519141780080846","-0.248420371406568","-0.105187291854532","10.5509922893974","BCEB"
"0.3","0.45","-1.07522765642974","0.518045403751952","-0.242716693741402","-0.104367077209116","10.7028110363086","BCEB"
"0.3","0.5","-1.07272240511228","0.520916935980602","-0.251981082664094","-0.102444915399212","10.7863558161481","BCEB"
"0.3","0","-1.01843162029442","0.508674442233087","-0.25273292019504","-0.102533778447655","10.0020047737778","HL"
"0.3","0.05","-1.01849287508969","0.511053869500324","-0.254109976845864","-0.100011001962339","10.0041736326435","HL"
"0.3","0.1","-1.01866196305899","0.511486916633967","-0.257094777258969","-0.10153031987895","10.0279431035286","HL"
"0.3","0.15","-1.03161808959162","0.514622211744689","-0.253007323925814","-0.103768414415176","10.0423567673592","HL"
"0.3","0.2","-1.02730470618675","0.517170950701405","-0.258370174444589","-0.102963734666745","10.0298687147216","HL"
"0.3","0.25","-1.02830396877567","0.516020497934726","-0.251747809370423","-0.102245471147635","10.0676535054394","HL"
"0.3","0.3","-1.02946664454862","0.513848612191291","-0.255203139191013","-0.103953252696808","10.0809028146697","HL"
"0.3","0.35","-1.02954435640471","0.519390154512725","-0.258279651174337","-0.0980962821692706","10.0560789160966","HL"
"0.3","0.4","-1.03169036717311","0.51601687202854","-0.254603559605472","-0.105354844061792","10.0399613579634","HL"
"0.3","0.45","-1.03193453479445","0.513429571399444","-0.250414275682401","-0.104331535540475","10.0572195242862","HL"
"0.3","0.5","-1.0296139134201","0.517095056017312","-0.259370037249896","-0.101733908645988","10.0704741321389","HL"
"0.3","0","-1.01843162032003","0.508674442227253","-0.252732920188226","-0.102533778464013","10.0020047744614","HW"
"0.3","0.05","-1.0186388314509","0.511289607991767","-0.254151497861839","-0.100013573632331","10.0044133629167","HW"
"0.3","0.1","-1.01847212883897","0.511462975870958","-0.257082261587201","-0.10152036199273","10.0247938290512","HW"
"0.3","0.15","-1.03151546718837","0.514425853782589","-0.252987454001551","-0.103722967699703","10.0422581836239","HW"
"0.3","0.2","-1.02747574560756","0.517639415662906","-0.258469072853401","-0.102959318692294","10.0291392209941","HW"
"0.3","0.25","-1.02788148768515","0.515059271500577","-0.251508188906347","-0.102258502255328","10.0728891400752","HW"
"0.3","0.3","-1.03035039817426","0.514119047417139","-0.255094797723833","-0.103953040959142","10.1020041957607","HW"
"0.3","0.35","-1.02923878932294","0.518048928709598","-0.257841419995789","-0.098211527486597","10.0703093211401","HW"
"0.3","0.4","-1.03220927477331","0.517521826209446","-0.254834151487657","-0.105378936705011","10.0395094155582","HW"
"0.3","0.45","-1.03445118221927","0.512622502224375","-0.249481263125007","-0.104506155448941","10.1204746327296","HW"
"0.3","0.5","-1.02972414363387","0.513949998641669","-0.257983209651714","-0.101759502681227","10.114030580264","HW"
