"rhoZ","Var_eps","Rc","Method"
"0.3","0","1","CEB"
"0.3","0.05","1","CEB"
"0.3","0.1","1","CEB"
"0.3","0.15","1","CEB"
"0.3","0.2","1","CEB"
"0.3","0.25","0.998","CEB"
"0.3","0.3","0.999","CEB"
"0.3","0.35","0.977","CEB"
"0.3","0.4","0.958","CEB"
"0.3","0.45","0.931","CEB"
"0.3","0.5","0.869","CEB"
"0.3","0","1","BCEB"
"0.3","0.05","1","BCEB"
"0.3","0.1","1","BCEB"
"0.3","0.15","1","BCEB"
"0.3","0.2","1","BCEB"
"0.3","0.25","1","BCEB"
"0.3","0.3","1","BCEB"
"0.3","0.35","1","BCEB"
"0.3","0.4","1","BCEB"
"0.3","0.45","1","BCEB"
"0.3","0.5","1","BCEB"
"0.3","0","1","HL"
"0.3","0.05","1","HL"
"0.3","0.1","1","HL"
"0.3","0.15","1","HL"
"0.3","0.2","1","HL"
"0.3","0.25","1","HL"
"0.3","0.3","0.997","HL"
"0.3","0.35","0.992","HL"
"0.3","0.4","0.99","HL"
"0.3","0.45","0.979","HL"
"0.3","0.5","0.97","HL"
"0.3","0","1","HW"
"0.3","0.05","1","HW"
"0.3","0.1","1","HW"
"0.3","0.15","1","HW"
"0.3","0.2","1","HW"
"0.3","0.25","1","HW"
"0.3","0.3","1","HW"
"0.3","0.35","1","HW"
"0.3","0.4","1","HW"
"0.3","0.45","0.999","HW"
"0.3","0.5","0.999","HW"
