"rhoZ","Var_eps","Rc","Method"
"0.3","0","1","CEB"
"0.3","0.05","1","CEB"
"0.3","0.1","1","CEB"
"0.3","0.15","1","CEB"
"0.3","0.2","1","CEB"
"0.3","0.25","1","CEB"
"0.3","0.3","1","CEB"
"0.3","0.35","1","CEB"
"0.3","0.4","1","CEB"
"0.3","0.45","1","CEB"
"0.3","0.5","1","CEB"
"0.3","0","1","BCEB"
"0.3","0.05","1","BCEB"
"0.3","0.1","1","BCEB"
"0.3","0.15","1","BCEB"
"0.3","0.2","1","BCEB"
"0.3","0.25","1","BCEB"
"0.3","0.3","1","BCEB"
"0.3","0.35","1","BCEB"
"0.3","0.4","1","BCEB"
"0.3","0.45","1","BCEB"
"0.3","0.5","1","BCEB"
"0.3","0","1","HL"
"0.3","0.05","0.817","HL"
"0.3","0.1","0.806","HL"
"0.3","0.15","0.795","HL"
"0.3","0.2","0.822","HL"
"0.3","0.25","0.815","HL"
"0.3","0.3","0.818","HL"
"0.3","0.35","0.821","HL"
"0.3","0.4","0.825","HL"
"0.3","0.45","0.816","HL"
"0.3","0.5","0.801","HL"
"0.3","0","1","HW"
"0.3","0.05","0.483","HW"
"0.3","0.1","0.479","HW"
"0.3","0.15","0.511","HW"
"0.3","0.2","0.511","HW"
"0.3","0.25","0.484","HW"
"0.3","0.3","0.493","HW"
"0.3","0.35","0.482","HW"
"0.3","0.4","0.486","HW"
"0.3","0.45","0.499","HW"
"0.3","0.5","0.521","HW"
