"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","0","0","-0.321406151430011","-0.0793317929799275","-5.03378004245909","Naive"
"0.3","0.05","0.00206998611238897","0.000267173673808633","-0.328307166950041","-0.0777970897853583","-5.03845567282956","Naive"
"0.3","0.1","0.00162919800558576","-0.000606996060805105","-0.322646327062703","-0.0849528557285058","-5.02798183525703","Naive"
"0.3","0.15","-3.67875584143421e-05","0.00148606914925411","-0.326873471182977","-0.08104494192087","-4.95272365743462","Naive"
"0.3","0.2","0.000572910673860929","-0.000983178180989481","-0.326807977551316","-0.079179521563403","-4.87911026534586","Naive"
"0.3","0.25","0.00081325643971175","0.00361402875262665","-0.325404925300484","-0.0787157878550488","-5.08804976761014","Naive"
"0.3","0.3","-0.000198440336531004","0.000861114137971468","-0.328267091754311","-0.081966337897469","-5.1093245846124","Naive"
"0.3","0.35","0.000346184750906105","0.00223532344540642","-0.327731180567073","-0.0832843207373444","-5.00437661458781","Naive"
"0.3","0.4","0.000522371558112972","0.000893857560185987","-0.326125123259569","-0.0819771457731191","-5.09041148224927","Naive"
"0.3","0.45","-0.00108891575525048","0.000945713948734619","-0.327592233155047","-0.0829739544757392","-4.90056376386396","Naive"
"0.3","0.5","-0.000304304033382783","-0.00213097913435452","-0.324854943585741","-0.0814483260589562","-4.93735368662223","Naive"
"0.3","0","0","0","-0.321406151430011","-0.0793317929799275","-5.03378004245909","CEB"
"0.3","0.05","0.00214075967009539","-3.78894398464883e-05","-0.329044933068579","-0.0778667222272344","-5.05338596195722","CEB"
"0.3","0.1","0.001685858637956","-0.000330135630434205","-0.323276168707232","-0.0850320545951075","-5.04308657343422","CEB"
"0.3","0.15","7.48230371600372e-07","0.00185621691240656","-0.327558380245532","-0.0811101603621737","-4.96753606678687","CEB"
"0.3","0.2","0.000634366295984833","-0.00124599831365681","-0.327462465737238","-0.0792577733958379","-4.89294539634126","CEB"
"0.3","0.25","0.000889305250214026","0.00489489872809556","-0.326113492013438","-0.0787796049509874","-5.10327322322189","CEB"
"0.3","0.3","-0.0002059167161385","0.00109773475647203","-0.328919694891862","-0.0820260015353503","-5.12265524823666","CEB"
"0.3","0.35","0.000356645880565823","0.00290770044047291","-0.328417863152962","-0.0833989263237991","-5.01787523928883","CEB"
"0.3","0.4","0.000554521190296402","0.00113194727692972","-0.326872123132797","-0.0820078299558915","-5.10481646770267","CEB"
"0.3","0.45","-0.00113909823794631","0.00127777333508087","-0.328310708480829","-0.0830290578401957","-4.91331709979887","CEB"
"0.3","0.5","-0.000325095860435462","-0.00277612756338802","-0.325534642316039","-0.0815531935736053","-4.95006604181707","CEB"
"0.3","0","0","0","-0.321406151430011","-0.0793317929799275","-5.03378004245909","BCEB"
"0.3","0.05","0.00214087882647196","-4.6453506600373e-05","-0.328950301652529","-0.0778608720959093","-5.05595929542701","BCEB"
"0.3","0.1","0.00168528173802543","-0.000331110988885151","-0.323195435439633","-0.0850248550274461","-5.04533671868622","BCEB"
"0.3","0.15","-2.60030143264678e-07","0.00185684589587917","-0.327466037383925","-0.0811038781676725","-4.97011035189929","BCEB"
"0.3","0.2","0.000633294917162146","-0.00125374638064958","-0.327374914901317","-0.0792545309932382","-4.89528040531283","BCEB"
"0.3","0.25","0.000890483316571569","0.00490290454584982","-0.326024013257717","-0.0787754267352654","-5.10568506840773","BCEB"
"0.3","0.3","-0.000206280218078701","0.00109610177945518","-0.328832857483078","-0.082021522865793","-5.12495610324421","BCEB"
"0.3","0.35","0.000355930381011284","0.00291010598039202","-0.328327730160087","-0.0833975281188222","-5.0202545497056","BCEB"
"0.3","0.4","0.000554350209864088","0.00112441038107635","-0.326775747000616","-0.0820029346291696","-5.10744635733185","BCEB"
"0.3","0.45","-0.00113904255945516","0.00127908753894556","-0.328213848104261","-0.0830267370519627","-4.91589327512663","BCEB"
"0.3","0.5","-0.000325122176936359","-0.00278409286885875","-0.32544767121484","-0.081551557827431","-4.95232586149961","BCEB"
"0.3","0","0","0","0","0","-13.8016601556431","HL"
"0.3","0.05","-0.176923145907238","0.527860496781627","-2.05134108098848","-0.137519813610217","-7.78735711709372","HL"
"0.3","0.1","-0.290959539078362","-0.108706374234004","-1.53011835434183","-1.11689595279876","-7.59742458436867","HL"
