"rhoZ","Var_eps","Rc","Method"
"0.3","0","1","CEB"
"0.3","0.05","0.999","CEB"
"0.3","0.1","0.964","CEB"
"0.3","0.15","0.781","CEB"
"0.3","0.2","0.556","CEB"
"0.3","0.25","0.43","CEB"
"0.3","0.3","0.299","CEB"
"0.3","0.35","0.244","CEB"
"0.3","0.4","0.205","CEB"
"0.3","0.45","0.142","CEB"
"0.3","0.5","0.131","CEB"
"0.3","0","1","BCEB"
"0.3","0.05","1","BCEB"
"0.3","0.1","1","BCEB"
"0.3","0.15","1","BCEB"
"0.3","0.2","1","BCEB"
"0.3","0.25","1","BCEB"
"0.3","0.3","1","BCEB"
"0.3","0.35","1","BCEB"
"0.3","0.4","0.999","BCEB"
"0.3","0.45","1","BCEB"
"0.3","0.5","1","BCEB"
"0.3","0","1","HL"
"0.3","0.05","1","HL"
"0.3","0.1","0.991","HL"
"0.3","0.15","0.933","HL"
"0.3","0.2","0.897","HL"
"0.3","0.25","0.813","HL"
"0.3","0.3","0.776","HL"
"0.3","0.35","0.691","HL"
"0.3","0.4","0.671","HL"
"0.3","0.45","0.599","HL"
"0.3","0.5","0.597","HL"
"0.3","0","1","HW"
"0.3","0.05","1","HW"
"0.3","0.1","1","HW"
"0.3","0.15","0.993","HW"
"0.3","0.2","0.971","HW"
"0.3","0.25","0.922","HW"
"0.3","0.3","0.902","HW"
"0.3","0.35","0.836","HW"
"0.3","0.4","0.769","HW"
"0.3","0.45","0.707","HW"
"0.3","0.5","0.674","HW"
